2140,BORGERHOUT,Antwerp,None,,
2170,MERKSEM,Antwerp,None,,
2140,BORGERHOUT,Antwerp,None,,
2660,HOBOKEN,Antwerp,None,,
4600,Visé,Liège,None,,
2660,HOBOKEN,Antwerp,None,,
2170,MERKSEM,Antwerp,None,,
2140,BORGERHOUT,Antwerp,None,,
9040,Sint-Amandsberg,East Flanders,None,,
1020,Laeken,Brussels,None,,
2140,Borgerhout,Antwerp,None,,
1370,Jodoigne,Walloon Brabant,None,,
1020,Bruxelles,Brussels,None,,
4300,Waremme,Liège,None,,
1020,Laeken,Brussels,None,,
8300,Knokke-Zoute,West Flanders,None,,
1370,JODOIGNE,Walloon Brabant,None,,
1000,Bruxelles,Brussels,None,,
4600,Lanaye,Liège,None,,
2610,WILRIJK,Antwerp,None,,
8434,Westende,West Flanders,None,,
1000,BRUXELLES,Brussels,None,,
8300,Knokke-Zoute,West Flanders,None,,
3010,Kessel-Lo,Flemish Brabant,None,,
4300,Waremme,Liège,None,,
9031,Drongen,East Flanders,None,,
2610,WILRIJK,Antwerp,None,,
1601,Ruisbroek (1601),Flemish Brabant,None,,
2140,Borgerhout,Antwerp,None,,
2660,HOBOKEN,Antwerp,None,,
2660,HOBOKEN,Antwerp,None,,
1020,Laeken,Brussels,None,,
8510,Rollegem,West Flanders,None,,
8434,Westende,West Flanders,None,,
1020,Laeken,Brussels,None,,
4500,HUY,Liège,None,,
2660,HOBOKEN,Antwerp,None,,
1190,Forest,Brussels,None,,
2811,Hombeek,Antwerp,None,,
1020,Laeken,Brussels,None,,
2170,MERKSEM,Antwerp,None,,
2610,WILRIJK,Antwerp,None,,
3010,KESSEL-LO,Flemish Brabant,None,,
4500,Huy,Liège,None,,
2140,BORGERHOUT,Antwerp,None,,
2610,WILRIJK,Antwerp,None,,
2140,BORGERHOUT,Antwerp,None,,
6700,ARLON,Luxembourg,None,,
6700,Arlon,Luxembourg,None,,
2180,EKEREN,Antwerp,None,,
1190,Forest,Brussels,None,,
4600,Visé,Liège,None,,
3111,WEZEMAAL,Flemish Brabant,None,,
1000,Bruxelles,Brussels,None,,
9040,Sint-Amandsberg,East Flanders,None,,
6792,HALANZY,Luxembourg,None,,
6720,Hachy,Luxembourg,None,,
2610,WILRIJK,Antwerp,None,,
1000,Bruxelles,Brussels,None,,
1000,Bruxelles,Brussels,None,,
1300,Wavre,Walloon Brabant,None,,
1020,LAEKEN (BRU.),Brussels,None,,
1190,Forest,Brussels,None,,
2610,WILRIJK,Antwerp,None,,
8501,Bissegem,West Flanders,None,,
2180,EKEREN,Antwerp,None,,
1020,Laeken,Brussels,None,,
8434,Westende,West Flanders,None,,
1000,BRUXELLES,Brussels,None,,
3202,Rillaar,Flemish Brabant,None,,
1420,BRAINE-L'ALLEUD,Walloon Brabant,None,,
5020,Namur,Namur,None,,
9850,Nevele,East Flanders,None,,
9041,OOSTAKKER,East Flanders,None,,
2140,BORGERHOUT,Antwerp,None,,
1000,Bruxelles,Brussels,None,,
2870,RUISBROEK,Antwerp,None,,
1020,Laeken,Brussels,None,,
1000,Bruxelles,Brussels,None,,
1000,Bruxelles,Brussels,None,,
2170,MERKSEM,Antwerp,None,,
1332,GENVAL,Walloon Brabant,None,,
1000,BRUXELLES,Brussels,None,,
2660,HOBOKEN,Antwerp,None,,
1501,Buizingen,Flemish Brabant,None,,
1190,FOREST,Brussels,None,,
5000,Namur,Namur,None,,
1020,Laeken,Brussels,None,,
1000,Bruxelles,Brussels,None,,
